,Reviews
227,"
Es angosto pero largo.
"
228,"
Now what can I say about old school pumas, these shoes right here are the most hottest shoes I ever wore I never knew puma had them in a high top seeing that I like high tops instead of low tops. I will continue to buy these shoes as long as they still keep making them I'm hoping to get an all-white pair but yes these are in must by.
"
229,"
I ordered these for my son. This is his second pair. We couldn’t find them at journey. Amazon has everything. He is very happy with the purchase.
"
230,"
I only wear pumas now. They are great especially if you have thin width feet. I work on roofs daily and these shoes are nice light weight good soles and are quite comfortable. Given the tread last about 3 to 4 months but for 30 to 40 bucks a shoe not bad. Longest lasting shoe I've owned yet.
"
231,"
Para el precio que me salio y la facilidad de pago muy satisfecho.
"
232,"
They fit perfectly straight out the box. No defects. Couldn't be happier
"
233,"
Comfortable and stylish.
"
234,"
Well I was a puma fan but the shoes fell apart at the heel  inside of the shoe. I've had these shoes for 2 months and I don't wear them everyday. This was my second pair and my last.
"
235,"
I've had these shoes over the years new, from '80s high school to present. They have literally Not changed since then. Is a good thing for me as the fit is exactly what I am and was expecting. May be a bad thing for those who want a retro sneaker with current materials and manufacturing. It truly is the exact thing from back in the days.
"
236,"
Confortable
"
237,"
A little tight when I first wore....but as I've worn them, they've gotten better.....I think they just need a little break in period....seem to be great quality and the price is great too...
"
238,"
Came as expected the look is nice
"
239,"
I don't know how to rate this. My last pair of very similar Pumas was the same size but I can hardly fit my feet in these. They feel a size too small. I like everything else though :|
"
240,"
Check review for black and white pair.
"
241,"
I absolutely love these shoes! Very nice! I bought 3 pairs and am going to buy some more!!!So far I must have bought 10 pairs over the years and as long as my husband is happy with these, I am all for it! Can’t go wrong. They look like nice with jeans and are comfortable.
"
242,"
Fit as expected.  The look and comfort is excellent
"
243,"
Great Puma Sneakers, great price.Very comfortable.
"
244,"
Love love LOVE them!Just like the old days, only better.So friggin comfortable.Little narrow at first but you definitely break them in pretty quickly.Same shoe I loved twenty/thirty years ago!
"
245,"
Great deal!  Classic navy blue suede Pumas with white logo.  Old school meets new again. Perfect fit, I ordered them late night & they arrived arrived the next day.  No extra fees.  Great service! Thanks.
"
246,"
On my feet all day. Shoe is perfect.
"
247,"
I hate arch support and like a classic narrow fit. Also I live in a city where I walk miles everyday. These are a great price, very durable (have worn for 6ish months), and the color and fit holds up. I usually tear through a pair of tennis shoes a few times a year, these have held up better than most and still look great.
"
248,"
Great classic Puma sneakers!  I just forgot that Puma's run narrow and returned them.
"
249,"
Walking on the pier - or, to a Party....You will fit in - and get compliments - Old school in its timeless simplicity - like a Tux, or Little black dress -If you have the right attitude - You can wear it anywhere - And it will Never go out of style .
"
250,"
Every pair of Pumas I've ever had have been just a little bit too narrow, but these aren't! I got a pair of Astros at the same time, and the Smash mids are noticeably wider. Plenty of room for an arch support insole, and the padding is nice too. Fits great, looks great. (I wear a women's size 8, these are 6.5)
"
251,"
Delivery was on time, and product came in excellent condition
"
252,"
low quality and not made of suede like regular Puma classics. Feel very cheaply made. Disappointed and will not purchase again.
"
253,"
These Puma sneakers are so comfortable, Walt “Clyde Frazier would be proud to put his name on them!
"
254,"
Love puma so cool last long enough  wish more colors available not in size 4or5 be helpful.
"
255,"
Everything was great. The shoe could be a little more comfortable in terms of padding, but this is a purchase I'm grateful for.
"
256,"
Can’t go wrong with pumas
"
257,"
Pretty good honestly. A little hard to breathe in them.
"
258,"
What can I say I'm bias. My old skool days.
"
259,"
There are pro’s and con’s with these. They look great and the fit is good. However the soles are the thinnest on any shoes I have ever seen. You will feel every pebble. Don’t count on these for everyday wear and definitely not if you need to walk or be active. They will not last two weeks of active use. But they will be fine to wear out to dinner or to the movies and will look great doing it. Style over substance is okay sometimes.
"
260,"
Exactly what I order, arrive in time ( a day before the estimated time) and overall great service.
"
261,"
Not the puma quality I remember.  Aesthetically pleasing to the eye, stitching looks good.  Good grief they're good for standing on flat ground and that's about it.  The sole on these shoes is no more then a 1/4 inch thick and the rest is a honey comb like grid you can feel on your feet, and real slick, no grip whatsoever on damp ground.  Not to mention anything you step on, ouch!  Cracks in sidewalks, pebbles you can feel everything you step on that isn't flat.  You can see the triangle shapes poking through my heel from the grid in the picture from the hollow sole.  Sorry a little rainy here, a bit dirty.  What a shame, they sucked the sole out of that mighty cat and jacked the price!  Not buying those again.
"
262,"
The shoe is worth the money
"
